CVE,package,severity,summary,description,publishedAt,vulnerableVersionRange,firstPatchedVersion
CVE-2018-1000136,electron,HIGH,Code Execution by Re-enabling Node.js integration in electron,"Versions of electron 
A vulnerability has been discovered which allows Node.js integration to be re-enabled in some Electron applications that disable it.

For the application to be impacted by this vulnerability it must meet all of these conditions

- Runs on Electron 1.7, 1.8, or a 2.0.0-beta
- Allows execution of arbitrary remote code
- Disables Node.js integration
- Does not explicitly declare webviewTag: false in its webPreferences
- Does not enable the nativeWindowOption option
- Does not intercept new-window events and manually override event.newGuest without using the supplied options tag


## Recommendation

Update to `electron` version 1.7.13, 1.8.4, or 2.0.0.beta.5 or later

If you are unable to update your Electron version can mitigate the vulnerability with the following code.

```
app.on('web-contents-created', (event, win) => {
  win.on('new-window', (event, newURL, frameName, disposition,
                        options, additionalFeatures) => {
    if (!options.webPreferences) options.webPreferences = {};
    options.webPreferences.nodeIntegration = false;
    options.webPreferences.nodeIntegrationInWorker = false;
    options.webPreferences.webviewTag = false;
    delete options.webPreferences.preload;
  })
})

// and *IF* you don't use WebViews at all,
// you might also want
app.on('web-contents-created', (event, win) => {
  win.on('will-attach-webview', (event, webPreferences, params) => {
    event.preventDefault();
  })
})
```",2018-03-26T16:41:17Z,">= 1.7, < 1.7.12",1.7.12
CVE-2018-1000136,electron,HIGH,Code Execution by Re-enabling Node.js integration in electron,"Versions of electron 
A vulnerability has been discovered which allows Node.js integration to be re-enabled in some Electron applications that disable it.

For the application to be impacted by this vulnerability it must meet all of these conditions

- Runs on Electron 1.7, 1.8, or a 2.0.0-beta
- Allows execution of arbitrary remote code
- Disables Node.js integration
- Does not explicitly declare webviewTag: false in its webPreferences
- Does not enable the nativeWindowOption option
- Does not intercept new-window events and manually override event.newGuest without using the supplied options tag


## Recommendation

Update to `electron` version 1.7.13, 1.8.4, or 2.0.0.beta.5 or later

If you are unable to update your Electron version can mitigate the vulnerability with the following code.

```
app.on('web-contents-created', (event, win) => {
  win.on('new-window', (event, newURL, frameName, disposition,
                        options, additionalFeatures) => {
    if (!options.webPreferences) options.webPreferences = {};
    options.webPreferences.nodeIntegration = false;
    options.webPreferences.nodeIntegrationInWorker = false;
    options.webPreferences.webviewTag = false;
    delete options.webPreferences.preload;
  })
})

// and *IF* you don't use WebViews at all,
// you might also want
app.on('web-contents-created', (event, win) => {
  win.on('will-attach-webview', (event, webPreferences, params) => {
    event.preventDefault();
  })
})
```",2018-03-26T16:41:17Z,">= 1.8, < 1.8.3",1.8.3
CVE-2018-1000136,electron,HIGH,Code Execution by Re-enabling Node.js integration in electron,"Versions of electron 
A vulnerability has been discovered which allows Node.js integration to be re-enabled in some Electron applications that disable it.

For the application to be impacted by this vulnerability it must meet all of these conditions

- Runs on Electron 1.7, 1.8, or a 2.0.0-beta
- Allows execution of arbitrary remote code
- Disables Node.js integration
- Does not explicitly declare webviewTag: false in its webPreferences
- Does not enable the nativeWindowOption option
- Does not intercept new-window events and manually override event.newGuest without using the supplied options tag


## Recommendation

Update to `electron` version 1.7.13, 1.8.4, or 2.0.0.beta.5 or later

If you are unable to update your Electron version can mitigate the vulnerability with the following code.

```
app.on('web-contents-created', (event, win) => {
  win.on('new-window', (event, newURL, frameName, disposition,
                        options, additionalFeatures) => {
    if (!options.webPreferences) options.webPreferences = {};
    options.webPreferences.nodeIntegration = false;
    options.webPreferences.nodeIntegrationInWorker = false;
    options.webPreferences.webviewTag = false;
    delete options.webPreferences.preload;
  })
})

// and *IF* you don't use WebViews at all,
// you might also want
app.on('web-contents-created', (event, win) => {
  win.on('will-attach-webview', (event, webPreferences, params) => {
    event.preventDefault();
  })
})
```",2018-03-26T16:41:17Z,">= 2.0, < 2.0.0-beta.3",2.0.0-beta.3
CVE-2018-3728,hoek,MODERATE,Prototype Pollution in hoek,"Versions of `hoek` prior to 4.2.1 and 5.0.3 are vulnerable to prototype pollution.

The `merge` function, and the `applyToDefaults` and `applyToDefaultsWithShallow` functions which leverage `merge` behind the scenes, are vulnerable to a prototype pollution attack when provided an _unvalidated_ payload created from a JSON string containing the `__proto__` property.

This can be demonstrated like so:

```javascript
var Hoek = require('hoek');
var malicious_payload = '{""__proto__"":{""oops"":""It works !""}}';

var a = {};
console.log(""Before : "" + a.oops);
Hoek.merge({}, JSON.parse(malicious_payload));
console.log(""After : "" + a.oops);
```

This type of attack can be used to overwrite existing properties causing a potential denial of service.


## Recommendation

Update to version 4.2.1, 5.0.3 or later.",2018-04-26T15:25:17Z,< 4.2.1,4.2.1
CVE-2018-11093,@ckeditor/ckeditor5-link,HIGH,Cross-Site Scripting in @ckeditor/ckeditor5-link,"Versions of `status-board` prior to 10.0.1 are vulnerable to Cross-Site Scripting. The `_createPreviewButton()` function fails to sanitize the `href` attribute of a created `<a>` tag. This may allow attackers to execute arbitrary JavaScript in a victim's browser.


## Recommendation

Upgrade to version 10.0.1 or later.",2018-05-23T20:37:46Z,">= 0.3.0, < 10.0.1",10.0.1
CVE-2018-3746,pdfinfojs,HIGH,Command Injection in pdfinfojs,"Versions of `pdfinfojs` before 0.4.1 are vulnerable to command injection. This is exploitable if an attacker can control the filename parameter that is passed into the `pdfinfojs` constructor.


## Recommendation

Update to version 0.4.1 or later.",2018-06-07T19:43:00Z,< 0.4.1,0.4.1
CVE-2017-16042,growl,CRITICAL,Command Injection in growl,"Affected versions of `growl` do not properly sanitize input prior to passing it into a shell command, allowing for arbitrary command execution.


## Recommendation

Update to version 1.10.2 or later.",2018-06-08T12:43:43Z,< 1.10.0,1.10.0
GHSA-hxxf-q3w9-4xgw,eslint-scope,CRITICAL,Malicious Package in eslint-scope,"Version 3.7.2 of `eslint-scope` was published without authorization and was found to contain malicious code. This code would read the users `.npmrc` file and send any found authentication tokens to 2 remote servers.


## Recommendation

The best course of action if you found this package installed in your environment is to revoke all your npm tokens. You can find instructions on how to do that here. https://docs.npmjs.com/getting-started/working_with_tokens#how-to-revoke-tokens",2018-07-12T19:52:02Z,= 3.7.2,3.7.3
GHSA-hxxf-q3w9-4xgw,eslint-config-eslint,CRITICAL,Malicious Package in eslint-scope,"Version 3.7.2 of `eslint-scope` was published without authorization and was found to contain malicious code. This code would read the users `.npmrc` file and send any found authentication tokens to 2 remote servers.


## Recommendation

The best course of action if you found this package installed in your environment is to revoke all your npm tokens. You can find instructions on how to do that here. https://docs.npmjs.com/getting-started/working_with_tokens#how-to-revoke-tokens",2018-07-12T19:52:02Z,= 5.0.2,5.0.1
CVE-2018-3809,serve,HIGH,Information Exposure on Case Insensitive File Systems in serve,"Versions of `serve` before 7.0.0 are vulnerable to information exposure, bypassing the ignore security control, but only on case insensitive file systems.



## Recommendation

Update to version 7.0.0 or later.",2018-07-18T18:33:15Z,< 7.0.0,7.0.0
CVE-2018-3734,stattic,HIGH,Path Traversal in stattic,"Versions of `stattic` before 0.3.0 are vulnerable to path traversal allowing a remote attacker to read arbitrary files with any extension from the server that users `stattic`.


## Recommendation

Update to version 0.3.0 or later.",2018-07-18T21:20:15Z,< 0.3.0,0.3.0
CVE-2018-3733,crud-file-server,HIGH,Path Traversal in crud-file-server,"Versions of `crud-file-server` prior to 0.9.0 are vulnerable to Path Traversal. The package fails to sanitize URLs, allowing attackers to access server files outside of the served folder using relative paths.


## Recommendation

Upgrade to version 0.9.0 or later.",2018-07-18T21:20:19Z,< 0.9.0,0.9.0
CVE-2017-16138,mime,MODERATE,Regular Expression Denial of Service in mime,"Affected versions of `mime` are vulnerable to regular expression denial of service when a mime lookup is performed on untrusted user input.


## Recommendation

Update to version 2.0.3 or later.",2018-07-20T16:20:52Z,< 1.4.1,1.4.1
CVE-2017-16151,electron,HIGH,Chromium Remote Code Execution in electron,"Affected versions of `ElectronJS` are susceptible to a remote code execution vulnerability that occurs when an affected application access remote content, even if the [sandbox option](https://electron.atom.io/docs/api/sandbox-option) is enabled.



## Recommendation

Update to electron version 1.7.8 or later.",2018-07-24T20:04:23Z,< 1.6.14,1.6.14
CVE-2017-16151,electron,HIGH,Chromium Remote Code Execution in electron,"Affected versions of `ElectronJS` are susceptible to a remote code execution vulnerability that occurs when an affected application access remote content, even if the [sandbox option](https://electron.atom.io/docs/api/sandbox-option) is enabled.



## Recommendation

Update to electron version 1.7.8 or later.",2018-07-24T20:04:23Z,">= 1.7.0, < 1.7.8",1.7.8
CVE-2017-16136,method-override,HIGH,Regular Expression Denial of Service in method-override,"Affected versions of `method-override` are vulnerable to a regular expression denial of service vulnerability when untrusted user input is passed into the `X-HTTP-Method-Override` header.


## Recommendation

Update to version 2.3.10 or later",2018-07-24T20:06:04Z,= 1.0.2,2.3.10
CVE-2017-16136,method-override,HIGH,Regular Expression Denial of Service in method-override,"Affected versions of `method-override` are vulnerable to a regular expression denial of service vulnerability when untrusted user input is passed into the `X-HTTP-Method-Override` header.


## Recommendation

Update to version 2.3.10 or later",2018-07-24T20:06:04Z,">= 2.0.0, < 2.3.10",2.3.10
CVE-2017-16118,forwarded,HIGH,Regular Expression Denial of Service in forwarded,"Affected versions of `forwarded` are vulnerable to regular expression denial of service when parsing specially crafted user input.


## Recommendation

Update to version 0.1.2 or later",2018-07-24T20:16:30Z,< 0.1.2,0.1.2
CVE-2017-16119,fresh,HIGH,Regular Expression Denial of Service in fresh,"Affected versions of `fresh` are vulnerable to regular expression denial of service when parsing specially crafted user input.


## Recommendation

Update to version 0.5.2 or later.",2018-07-24T20:16:57Z,< 0.5.2,0.5.2
CVE-2017-16111,content,HIGH,Regular Expression Denial of Service in content,"Affected versions of `content` are vulnerable to a regular expression denial of service when parsing malicious `Content-Type` and `Content-Disposition` headers.


## Recommendation

Update to version 3.0.6 or later.",2018-07-24T19:55:05Z,< 3.0.7,3.0.7
CVE-2017-16107,pooledwebsocket,HIGH,Directory traversal in pooledwebsocket,"Affected versions of `pooledwebsocket` resolve relative file paths, resulting in a directory traversal vulnerability. A malicious actor can use this vulnerability to access files outside of the intended directory root, which may result in the disclosure of private files on the vulnerable system.

Example request:
```
GET /../../../../../../../../../../etc/passwd HTTP/1.1
host:foo
```


## Recommendation

Update to version 0.0.19 or later.",2018-07-24T00:20:57Z,< 0.0.19,0.0.19
CVE-2017-16082,pg,HIGH,Remote Code Execution in pg,"Affected versions of `pg` contain a remote code execution vulnerability that occurs when the remote database or query specifies a crafted column name. 

There are two specific scenarios in which it is likely for an application to be vulnerable:
1. The application executes unsafe, user-supplied sql which contains malicious column names.
2. The application connects to an untrusted database and executes a query returning results which contain a malicious column name.

## Proof of Concept
```
const { Client } = require('pg')
const client = new Client()
client.connect()

const sql = `SELECT 1 AS ""\\'/*"", 2 AS ""\\'*/\n + console.log(process.env)] = null;\n//""`

client.query(sql, (err, res) => {
  client.end()
})
```


## Recommendation

* Version 2.x.x: Update to version 2.11.2 or later.
* Version 3.x.x: Update to version 3.6.4 or later.
* Version 4.x.x: Update to version 4.5.7 or later.
* Version 5.x.x: Update to version 5.2.1 or later.
* Version 6.x.x: Update to version 6.4.2 or later. ( Note that versions 6.1.6, 6.2.5, and 6.3.3 are also patched. )
* Version 7.x.x: Update to version 7.1.2 or later. ( Note that version 7.0.2 is also patched. )",2018-07-24T19:44:42Z,< 2.11.2,2.11.2
CVE-2017-16082,pg,HIGH,Remote Code Execution in pg,"Affected versions of `pg` contain a remote code execution vulnerability that occurs when the remote database or query specifies a crafted column name. 

There are two specific scenarios in which it is likely for an application to be vulnerable:
1. The application executes unsafe, user-supplied sql which contains malicious column names.
2. The application connects to an untrusted database and executes a query returning results which contain a malicious column name.

## Proof of Concept
```
const { Client } = require('pg')
const client = new Client()
client.connect()

const sql = `SELECT 1 AS ""\\'/*"", 2 AS ""\\'*/\n + console.log(process.env)] = null;\n//""`

client.query(sql, (err, res) => {
  client.end()
})
```


## Recommendation

* Version 2.x.x: Update to version 2.11.2 or later.
* Version 3.x.x: Update to version 3.6.4 or later.
* Version 4.x.x: Update to version 4.5.7 or later.
* Version 5.x.x: Update to version 5.2.1 or later.
* Version 6.x.x: Update to version 6.4.2 or later. ( Note that versions 6.1.6, 6.2.5, and 6.3.3 are also patched. )
* Version 7.x.x: Update to version 7.1.2 or later. ( Note that version 7.0.2 is also patched. )",2018-07-24T19:44:42Z,">= 3.0.0, < 3.6.4",3.6.4
